workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
0,7,29850,18286,11564,9862,5874,3988,18323,0,8,1440645,192,1346747,253824,622088,2450
0,8,3749,167,3582,763,25,738,3505,0,8,222253,64,22302,70824,186086,765
0,9,6933,3306,3627,1675,1014,661,4493,0,8,321363,64,141470,270336,209782,663
0,10,12180,6518,5662,3532,2090,1442,7778,0,8,723756,128,667498,122368,407385,1149
0,11,29206,17852,11354,10506,6308,4198,19135,0,8,1472604,192,1380849,253824,638688,2063
0,12,3731,167,3564,781,25,756,3416,0,8,222688,64,25554,70824,186931,850
0,13,6778,3252,3526,1830,1068,762,4528,0,8,308653,64,143294,270336,209231,681
0,14,12176,6418,5758,3536,2190,1346,7767,0,8,718451,128,672588,122368,401065,1257
0,15,29819,18462,11357,9893,5698,4195,18313,0,8,1455384,192,1365170,253824,619431,2276
0,16,3693,167,3526,819,25,794,3490,0,8,222767,64,15373,70584,188327,772
0,17,6608,3134,3474,2000,1186,814,4698,0,8,311786,64,129591,270336,202259,628
0,18,12693,6953,5740,3019,1655,1364,7298,0,8,717952,128,673508,122368,397198,1199
0,19,29501,17912,11589,10211,6248,3963,18913,0,8,1431850,192,1341814,253824,603133,2239
0,20,3779,171,3608,733,21,712,3391,0,8,219697,64,16232,70584,185990,873
0,21,6983,3410,3573,1625,910,715,4294,0,8,316134,64,148443,270336,220528,760
0,22,12622,6797,5825,3090,1811,1279,7346,0,8,720445,128,674529,122368,392889,1303
0,23,29788,18400,11388,9924,5760,4164,18278,0,8,1435046,192,1339706,253824,624806,2384
0,24,3857,174,3683,655,18,637,3558,0,8,221131,64,19464,70584,186996,709
0,25,6650,3167,3483,1958,1153,805,4705,0,8,316632,64,124111,270336,218155,589
0,26,12430,6771,5659,3282,1837,1445,7588,0,8,726481,128,675414,122368,429911,1091
0,27,29260,17636,11624,10452,6524,3928,19465,0,8,1471850,192,1384405,253824,633759,1965
0,28,3617,165,3452,895,27,868,3526,0,8,222285,64,19225,70584,185027,739
0,29,6563,3207,3356,2045,1113,932,4638,0,8,316268,64,148264,270336,215453,611
0,30,11762,6061,5701,3950,2547,1403,8258,0,8,731574,128,679669,122368,405231,1121
0,31,29635,17945,11690,10077,6215,3862,19069,0,8,1489473,192,1394973,253824,647355,2034
TDLCA_StreamCluster,112745958,17984,9076,8908,448,140,308,5984,0,2,765143,1024,621644,263028,624362,3112
0,1,54581,53437,1144,875,867,8,160,0,16,8730123,768,8646057,569714,113115,1133
0,2,7383,3342,4041,169,114,55,88,0,16,1181703,384,1125310,461388,0,4019
0,3,108961,107833,1128,863,839,24,101,0,16,8932350,768,8845349,578438,115874,1128
0,4,7398,6246,1152,154,154,0,79,0,16,698461,256,672724,94571,121102,1152
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,54551,53401,1150,905,903,2,171,0,16,8665808,768,8583203,571125,101784,1140
0,7,7360,3335,4025,192,121,71,90,0,16,1136763,384,1087620,408441,0,4018
0,8,109033,107888,1145,791,784,7,68,0,16,9045036,768,8959380,576862,104781,1145
0,9,7425,6273,1152,127,127,0,49,0,16,681547,256,658021,89897,109150,1152
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,54523,53375,1148,933,929,4,187,0,16,8633097,768,8549057,575658,113021,1135
0,12,7386,3339,4047,166,117,49,89,0,16,1181078,384,1124565,465201,0,4021
0,13,108530,107395,1135,910,893,17,117,0,16,8837935,768,8751064,578657,116436,1129
0,14,7401,6249,1152,151,151,0,79,0,16,697431,256,672074,95277,119374,1152
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,54554,53406,1148,902,898,4,151,0,16,8626376,768,8543499,571005,102354,1141
0,17,7376,3339,4037,176,117,59,89,0,16,1133877,384,1082580,408137,0,4017
0,18,108823,107695,1128,873,849,24,68,0,16,8858928,768,8773246,577948,105773,1128
0,19,7400,6248,1152,152,152,0,79,0,16,677312,256,653247,96780,107702,1152
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,54619,53467,1152,837,837,0,130,0,16,8591981,768,8507968,571892,113658,1146
0,22,7388,3336,4052,164,120,44,87,0,16,1174797,384,1117323,453488,0,4018
0,23,108963,107814,1149,861,858,3,110,0,16,8771629,768,8684767,576578,115878,1145
0,24,7395,6243,1152,157,157,0,79,0,16,693636,256,668760,92903,120629,1152
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,54597,53460,1137,859,844,15,139,0,16,8561078,768,8478413,569712,102427,1130
0,27,8104,3547,4557,176,125,51,89,0,17,1205386,408,1147793,460307,0,4531
0,28,108483,107336,1147,829,824,5,67,0,16,8781451,768,8695900,578219,104851,1147
0,29,7402,6250,1152,150,150,0,79,0,16,671012,256,647171,96253,107597,1152
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,54678,53526,1152,778,778,0,119,0,16,9191443,768,9104154,573591,136975,1146
0,32,6657,3126,3531,167,114,53,90,0,15,1166730,360,1107860,468075,0,3504
0,33,108919,107769,1150,777,775,2,106,0,16,9311609,768,9221541,577474,142343,1150
0,34,7395,6243,1152,157,157,0,79,0,16,735700,256,706004,98755,142697,1152
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,54675,53523,1152,781,781,0,129,0,16,8939183,768,8853719,572461,124570,1141
0,37,7384,3337,4047,168,119,49,89,0,16,1239406,384,1177235,503653,0,4021
0,38,108866,107730,1136,830,814,16,112,0,16,9092588,768,9004020,577957,128937,1132
0,39,7399,6247,1152,153,153,0,79,0,16,716830,256,690260,95673,130813,1152
TDLCA_Denoise,235719374,69018,36730,32288,75398,46246,29152,84017,0,16,5098197,128,4268397,2097449,2710383,10737
0,1,49849,34921,14928,238951,192439,46512,223278,0,16,8519080,384,7732726,3932541,2272396,4640
0,2,76278,41175,35103,77162,46985,30177,86287,0,17,5409520,136,4614736,2228542,2788518,12343
0,3,52134,35585,16549,236666,191775,44891,221550,0,16,8491549,384,7784671,3932544,2224229,5479
0,4,68722,37011,31711,75694,45965,29729,83759,0,16,5218363,128,4366286,2097455,2742082,10676
0,5,48964,33802,15162,239836,193558,46278,224186,0,16,8505616,384,7777180,3932544,2231038,4690
0,6,68963,37782,31181,57405,34826,22579,65807,0,14,5280392,112,4657267,1835296,2585539,11463
0,7,51148,35544,15604,237652,191816,45836,221816,0,16,8446862,384,7738810,3932544,2232051,5152
0,8,70157,36754,33403,83283,51406,31877,92051,0,17,5227629,136,4398685,2228533,2705928,11055
0,9,49176,33776,15400,239624,193584,46040,224031,0,16,8494626,384,7767446,3932544,2219235,4757
0,10,75632,39758,35874,86832,53586,33246,95825,0,18,5379465,144,4597681,2359611,2763502,12397
0,11,53065,38028,15037,235735,189332,46403,219630,0,16,8501357,384,7730183,3932541,2255562,4921
0,12,66831,35407,31424,86609,52753,33856,94638,0,17,5342225,136,4425147,2228548,2831543,9470
0,13,45465,30941,14524,243335,196419,46916,227597,0,16,8530289,384,7715516,3932535,2259232,4153
0,14,61405,33950,27455,55939,33474,22465,63490,0,13,5167026,104,4635115,1704227,2535176,9335
0,15,46795,31632,15163,242005,195728,46277,226495,0,16,8513481,384,7710952,3932535,2243773,4478
TDLCA_BlackScholes,74118448,18431,15825,2606,2569,2175,394,3194,0,125,897041,6000,824607,130000,523654,945
0,1,18613,15963,2650,2723,2325,398,3325,0,127,900157,6096,829983,132080,519831,984
0,2,19041,16352,2689,2799,2368,431,3383,0,130,892952,6240,819170,135200,524900,957
0,3,18143,15571,2572,2689,2285,404,3210,0,124,895960,5952,830214,128960,497967,945
0,4,18934,16252,2682,2738,2324,414,3365,0,129,896452,6192,824558,134160,519055,963
0,5,17880,15342,2538,2616,2226,390,3146,0,122,899042,5856,833787,126880,499050,944
0,6,19721,16909,2812,3127,2675,452,3692,0,136,888625,6528,811133,141440,546916,973
0,7,19129,16412,2717,2879,2452,427,3466,0,131,890235,6288,816199,136240,530032,954
