workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
TDLCA_Robot_Localization,257623849,68191,52478,15713,9665,6690,2975,20626,527223,16,2537308,768,2376486,484096,829546,3178
0,1,67946,52171,15775,9910,6997,2913,20767,515833,16,2563033,768,2406043,484096,812330,3301
0,2,68027,52234,15793,9829,6934,2895,20821,521624,16,2534458,768,2387495,484096,789843,3224
0,3,67991,52215,15776,9865,6953,2912,20732,518424,16,2527325,768,2367300,484096,823112,3325
0,4,68048,52249,15799,9808,6919,2889,20788,526048,16,2542042,768,2379094,484096,789487,3220
0,5,72267,55531,16736,10453,7333,3120,21927,536169,17,2596901,816,2437851,514352,827742,3583
0,6,63368,48709,14659,9624,6763,2861,20047,555454,15,2506422,720,2354979,453840,813328,2738
0,7,68096,52466,15630,9760,6702,3058,20786,530478,16,2556142,768,2392643,484096,813748,3021
TDLCA_Segmentation,183234940,146568,104144,42424,202936,151024,51912,178002,108804,134,11138969,2144,10062152,5491448,3717220,15395
0,1,155114,110594,44520,168310,125534,42776,147285,80692,124,11196094,1984,10263212,5081743,3611221,17422
0,2,145150,103003,42147,162626,121701,40925,143141,61186,118,11136264,1888,10237520,4836034,3559195,15854
0,3,150894,107546,43348,177746,132390,45356,154840,197707,126,11219041,2016,10189718,5163468,3676957,17409
0,4,148351,105129,43222,177681,132903,44778,156415,56896,125,11246784,2000,10293980,5122847,3626539,15942
0,5,146722,105172,41550,142798,106204,36594,123766,68171,111,11110308,1776,10219492,4549107,3601513,17302
0,6,129243,90519,38724,254165,189401,64764,223323,237680,147,11196958,2352,10002084,6024186,3847147,12650
0,7,137053,96454,40599,225491,168234,57257,198496,102688,139,11184489,2224,10057798,5696422,3755837,13861
TDLCA_EKF_SLAM,300842285,45273,12748,32525,5447,1876,3571,29930,358215,16,2499122,256,1563449,593930,1892821,7087
0,1,37469,9435,28034,4035,1093,2942,25071,232536,16,2073902,256,1147378,516708,1606776,6280
0,2,45387,12807,32580,5333,1817,3516,29481,321955,16,2485357,256,1456914,594565,1860916,7492
0,3,37460,9427,28033,4044,1101,2943,24718,198846,16,2056966,256,1139089,515360,1580330,6636
0,4,45383,12747,32636,5337,1877,3460,29987,320368,16,2508515,256,1541570,594079,1889986,7028
0,5,37426,9434,27992,4078,1094,2984,24894,223104,16,2139359,256,1208270,515668,1663626,6442
0,6,45591,12847,32744,5129,1777,3352,29606,321484,16,2480171,256,1618957,593813,1844210,7340
0,7,37423,9399,28024,4081,1129,2952,24680,217495,16,2107539,256,1119337,515306,1628330,6692
0,8,45412,12798,32614,5308,1826,3482,29892,317737,16,2452461,256,1351561,595031,1868959,7084
0,9,37444,9395,28049,4060,1133,2927,25054,213713,16,2070651,256,1099908,515856,1617680,6324
0,10,45441,12789,32652,5279,1835,3444,29591,323419,16,2470045,256,1467572,594063,1866814,7399
0,11,37516,9389,28127,3988,1139,2849,24677,207843,16,2105434,256,1202642,514862,1627281,6704
0,12,45194,12782,32412,5526,1842,3684,30484,404762,16,2552729,256,1620697,593921,1902172,6503
0,13,37349,9443,27906,4155,1085,3070,25478,261973,16,2101776,256,1101278,516080,1644906,5846
0,14,45255,12808,32447,5465,1816,3649,30166,359441,16,2520722,256,1459982,594384,1908551,6791
0,15,37394,9413,27981,4110,1115,2995,25273,240252,16,2133741,256,1184832,515253,1666213,6093
