workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
0,7,21558,13437,8121,18154,10723,7431,4372,0,8,2152141,192,2022342,253824,918551,2788
0,8,3531,164,3367,981,28,953,358,0,8,235898,64,35033,70944,193921,1166
0,9,6450,3112,3338,2158,1194,964,834,0,8,340839,64,179803,270336,235025,1318
0,10,10278,5615,4663,5434,2985,2449,1663,0,8,822308,128,758077,122368,463664,1571
0,11,21643,13342,8301,18069,10818,7251,4437,0,8,2165181,192,2028704,253824,939658,2965
0,12,3445,161,3284,1067,31,1036,403,0,8,240858,64,35367,70752,198967,1055
0,13,6176,2981,3195,2432,1339,1093,827,0,8,352596,64,185403,270336,227175,1264
0,14,10148,5441,4707,5564,3167,2397,1623,0,8,817377,128,762641,122368,469413,1530
0,15,21484,13261,8223,18228,10899,7329,4436,0,8,2151181,192,2027015,253824,915729,2864
0,16,3395,169,3226,1117,23,1094,425,0,8,229344,64,19116,70464,192631,1212
0,17,6791,3389,3402,1817,931,886,814,0,8,353230,64,202547,270336,242035,1177
0,18,11008,6128,4880,4704,2480,2224,1543,0,8,816041,128,768983,122368,456269,1622
0,19,21636,13321,8315,18076,10839,7237,4410,0,8,2167250,192,2039483,253824,923595,2984
0,20,3462,175,3287,1050,17,1033,406,0,8,231799,64,24732,70704,196095,1214
0,21,6073,2957,3116,2535,1363,1172,856,0,8,347542,64,166803,270336,224094,1260
0,22,10364,5640,4724,5348,2968,2380,1628,0,8,814435,128,759619,122368,452228,1533
0,23,21566,13401,8165,18146,10759,7387,4401,0,8,2148436,192,2016052,253824,934079,2773
0,24,3424,166,3258,1088,26,1062,440,0,8,237180,64,20330,70464,199143,1136
0,25,5396,2502,2894,3212,1818,1394,950,0,8,349468,64,178374,270336,220849,1144
0,26,10537,5717,4820,5175,2883,2292,1626,0,8,820454,128,757149,122368,456242,1656
0,27,21741,13341,8400,17971,10819,7152,4432,0,8,2166438,192,2046004,253824,920904,3365
0,28,3393,169,3224,1119,23,1096,390,0,8,235680,64,19303,70464,199344,1130
0,29,5653,2624,3029,2955,1696,1259,937,0,8,356653,64,197272,270336,221649,1112
0,30,10546,5758,4788,5166,2850,2316,1607,0,8,825837,128,771121,122368,482977,1669
0,31,21931,13518,8413,17781,10642,7139,4383,0,8,2169877,192,2048934,253824,934449,3281
TDLCA_StreamCluster,112713758,17988,9076,8912,444,140,304,182,0,2,741492,1024,602312,263042,610580,3191
0,1,54481,53337,1144,975,967,8,93,0,16,8732655,768,8648596,571414,113191,1133
0,2,7361,3341,4020,191,115,76,28,0,16,1188598,384,1131227,463820,0,4015
0,3,108961,107832,1129,863,840,23,49,0,16,8927341,768,8840230,578127,115996,1129
0,4,7416,6264,1152,136,136,0,21,0,16,698970,256,674119,93081,120665,1152
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,54458,53307,1151,998,997,1,90,0,16,8717014,768,8634467,573022,101287,1137
0,7,7355,3336,4019,197,120,77,28,0,16,1131183,384,1083287,399007,0,4014
0,8,109030,107885,1145,794,787,7,14,0,16,9037054,768,8951429,577459,104729,1145
0,9,7401,6249,1152,151,151,0,21,0,16,690815,256,667209,98606,108256,1152
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,54474,53325,1149,982,979,3,74,0,16,8737703,768,8653680,574751,114030,1147
0,12,7354,3336,4018,198,120,78,28,0,16,1178632,384,1120679,457865,0,4016
0,13,108395,107259,1136,917,901,16,73,0,16,8837732,768,8750719,577387,116409,1130
0,14,7397,6245,1152,155,155,0,21,0,16,696039,256,671027,94510,120073,1152
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,54494,53343,1151,962,961,1,72,0,16,8790810,768,8708153,573648,102781,1151
0,17,7357,3336,4021,195,120,75,28,0,16,1140308,384,1090339,413585,0,4021
0,18,108800,107664,1136,896,880,16,32,0,16,8850606,768,8764999,577252,105400,1136
0,19,7398,6246,1152,154,154,0,21,0,16,677769,256,654435,94615,109137,1152
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,54508,53365,1143,948,939,9,88,0,16,8583212,768,8499138,571469,113313,1132
0,22,7359,3336,4023,193,120,73,28,0,16,1184703,384,1127790,466043,0,4018
0,23,108818,107682,1136,878,862,16,61,0,16,8808102,768,8721229,578790,116828,1136
0,24,7396,6244,1152,156,156,0,21,0,16,690769,256,666116,92868,119298,1152
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,54512,53369,1143,944,935,9,68,0,16,8623535,768,8540909,571114,103059,1141
0,27,8080,3548,4532,200,124,76,28,0,17,1206459,408,1151431,459060,0,4529
